Unnamed: 0	claim	evidence	label	chatgpt_claims
298	Japonya’da mahkemenin ‘eşcinsel evliliğin anayasaya aykırı olmadığı’ kararını verdiği iddiası	Reuters’a dayandırılan haber Türkçeye hatalı çevrilmiş. Gerçekte Osaka mahkemesi, eşcinsel evliliğin ‘yasallaştırılmamasının’, anayasaya aykırı olmadığına karar vermiştir.	yanlış	The claim that the court in Japan has ruled that 'same-sex marriage is not unconstitutional'.
521	Türkiye haritasındaki patlama simgeleri 6 Şubat depremini mi işaret ediyor?	Görsel, 1915 Olayları’nı ‘soykırım’ olarak tanıyan Ermeni cemaatleri, kurum ve kuruluşlarınca kullanılan bir haritayı gösteriyor.Haritanın lejantına göre patlama ikonu bulunan yerler, o dönemde Ermeni direnişinin olduğu noktaları gösteriyor.Dolayısıyla harita üstünde patlama ikonu olan yerlerle deprem mesajı verildiği iddiası gerçeği yansıtmıyor.	yanlış	Do the explosion symbols on the map of Turkey indicate the February 6 earthquake?
613	DSÖ’nün Covid-19 ölümlerinin aşılı ülkelerde artarken Afrika’da azaldığını açıkladığı iddiası	Ekim 2021’de yayınlanan raporda en hızlı vaka yayılımının Avrupa’da, en yüksek vaka azalma oranının ise yüzde 18 ile Afrika’da yaşandığı belirtilmiş.Raporun öne çıkan güncellemelerinden birinde Afrika kıtasında yedi vakadan altısının tespit edilemediği belirtilmiş.Raporda aşılı ya da aşısız olmaya dair bir kıyaslama yok.	yanlış	The claim that the WHO announced that Covid-19 deaths are increasing in vaccinated countries while decreasing in Africa.
429	İsrail'in namaz kılan Filistinlilere köpek saldırttığı iddiası	Görüntüler kısa filmler çeken bir kanal tarafından 1 Mart 2020’de YouTube’a yüklenmiş.Video kurgusal bir hikayeyi gösteriyor.	yanlış	The claim that Israel has unleashed dogs on praying Palestinians.
107	Bir Twitter hesabı tarafından 13 Eylül 2022 tarihinde yapılan paylaşımda Katar Yatırım Fonu’nun Avrasya Tüneli’ne ortak olduğu iddia edildi.	Bir Twitter hesabı tarafından 13 Eylül 2022 tarihinde yapılan paylaşımda Katar Yatırım Fonu’nun Avrasya Tüneli’ne ortak olduğu iddia edilmişti. 8 Ağustos 2022 tarihinde Rekabet Kurumu tarafından paylaşılan kararda, SK Ecoplant hisselerinin Katar Yatırım Fonu’na satıldığı açıklandı. Katar Yatırım Fonu’nun Avrasya Tüneli’ne ne oranda ortak olduğu ise henüz bilinmiyor.	doğru	In a tweet posted on September 13, 2022, it was claimed that the Qatar Investment Fund has become a partner in the Eurasia Tunnel.
260	Maske kulanımının akciğerlerde iltihaplanma ve kansere yol açtığı iddiası	Maske kullanımı akciğerde iltihaba ya da kansere yol açmıyor.Referans verilen araştırma maske kullanımını değil, akciğer kanseri hastalarının bazı mikroplara maruz kalması durumunda ortaya çıkabilecek ileri hastalıkları konu ediyor.Araştırma maske kullanan kişiler değil, akciğer kanseri hastaları üzerinde yürütülmüş.Tıbbi literatürde de maskeye bağlı akciğer iltihaplanması ya da kanserini destekleyen bilimsel bir yayın bulunmuyor.Maskeler doğru şekilde kullanıldığında enfeksiyon bulaşını önlüyor.	yanlış	The claim that mask usage leads to inflammation in the lungs and cancer.
604	Termik santrale filtre takmamanın cezası 447 TL değil	447 liralık ceza ise, TEİAŞ’ın, Çatalağzı Termik Santraline (ÇATES) 2016 yılının tamamı için kestiği ceza ve konunun baca filtreleriyle ilgisi yok.Kanun kabul edilseydi, 20 kat artırılarak uygulanacak ceza, Çevre Kanununun 20. maddesine göre, 24 bin liranın 20 katı olan 480 bin liraya kadar çıkabilecekti.	yanlış	The penalty for not installing a filter on a thermal power plant is not 447 TL.
299	Meclis tutanaklarında sadece Kürtçe ifadeler için ‘bilinmeyen dil’ ibaresinin yer aldığı iddiası	CHP lideri ve Altılı Masa’nın Cumhurbaşkanı adayı Kemal Kılıçdaroğlu, 20 Mart günü HDP liderleri ile görüştü. Görüşmenin ardından basın toplantısında şu açıklamalarda bulundu:“TBMM’de kürsüde konuşulur. İngilizce yazar parantez içinde bu söz İngilizce’dir, cümle İngilzce’dir. Fransızca söz Fransızca’dır vesaire. Konuşma metninin içinde Kürtçe bir dil geçtiği zaman ‘bilinmeyen bir dil’ deniyor.”Aralık 2008’den itibaren Meclis’te Türkçe haricinde konuşulan tüm diller için ‘bilinmeyen dil’ ifadesi yerine ‘Türkçe olmayan kelime’ ifadesi kullanılıyor.Meclis tutanaklarında Türkçe haricinde konuşulan yerler için “Bu bölümde hatip tarafından Türkçe olmayan kelimeler ifade edildi.” ibaresi yer alıyor.Bu durum yalnızca Kürtçe için değil Türkçe haricindeki diğer dillerin hepsi için de geçerli.	yanlış	The claim is that in the parliamentary minutes, there is only the phrase 'unknown language' for Kurdish expressions.
650	Tek başına et yememenin iklim krizini durduracağı iddiası	Oda TV’nin çevirdiği Metro haberinde çeviri kaynaklı hatalar, haberin yanlış yorumlanmasına yol açıyor.Araştırmada hayvancılığa son vermenin potansiyel iklim etkisi ne kadar büyük olursa olsun, beklenen tüm faydalar gerçekleşse bile küresel felaketi önlemek için tek başına yeterli olmayacağını vurgulanıyor.İklim krizi komplike bir sorun olduğundan, tek başına et tüketimini ortadan kaldırmak sorunların çözülmesi için yeterli değil.	yanlış	The claim that not eating meat alone will stop the climate crisis.
902	Bir Twitter hesabı tarafından 13 Ekim 2021 tarihinde yapılan paylaşımda volkanik patlamaların insan aktivitesinden daha çok karbondioksit yaydığı iddia edildi.	Bir Twitter hesabı tarafından yapılan paylaşımda volkanik patlamaların insan aktivitesinden daha çok karbondioksit yaydığı iddia edilmişti. Ancak çeşitli bilim insanları ve bilimsel çalışmalar bu iddiayı asılsız kılar nitelikte. Volkanik faaliyet ve patlamalar, karbondioksit ya da herhangi zararlı bir gaz salınımı açısından insan faaliyetlerine oranla düşük bir yüzde oluşturuyor. Bunun yanında, insan faaliyetlerinden kaynaklı CO2 emisyonları son yıllarda önemli ölçüde artarken, volkanik emisyonların yıllar içinde artmadığını da vurgulamak gerekiyor.	yanlış	In a tweet posted on October 13, 2021, it was claimed that volcanic eruptions emit more carbon dioxide than human activities.
328	A Haber'in “Benzinde tarihi düşüş” alt bandı kullandığı iddiası	Görsel montaj. Gerçek alt bant “S-400 Alımı F-35 Alımını Etkilemez” şeklinde.Ajans 14 isimli programın 27 Mart 2018 tarihli yayınına bakıldığında söz konusu alt bandın “S-400 Alımı F-35 Alımını Etkilemez” şeklinde olduğu görülebiliyor.	yanlış	"The claim that A Haber used the subtitle ""Historical decrease in gasoline prices."""
168	Bir Instagram sayfası tarafından 10 Mayıs 2021 tarihinde yapılan paylaşımda Twitter’da paylaşılan bir gönderinin Aziz Sancar’a ait olduğu iddia edildi.	10 Mayıs 2021 tarihinde bir Instagram sayfası Aziz Sancar’a ait olduğu iddia edilen bir tweet paylaşmıştı. Görseldeki hesap incelendiğinde hesabın parodi hesap olduğu ve Aziz Sancar’ın resmi hesabında böyle bir paylaşım yapılmadığı görülüyor.	yanlış	In a post shared on May 10, 2021, by an Instagram page, it was claimed that a tweet shared on Twitter belonged to Aziz Sancar.
462	Everest’e tırmanan dağcının vegan olduğu için hayatını kaybettiği iddiası	Vegan dağcı Maria Strydom’un ölüm nedeninin diyetiyle ilgisi yok. Strydom zirveye yaklaşmaya yakın akut dağ hastalığı nedeniyle hayatını kaybetti.Bu sorunun et tüketimiyle bilinen bir bağı bulunmuyor.2016 yılında vegan sporcu Kuntel Joisher zirveye ulaşmayı başarmıştı.	yanlış	The claim that the climber who climbed Everest died because he was vegan.
309	Japonya’da havayolu firması çalışanlarının rötar sebebiyle selamlayarak özür dilediği iddiası	Fotoğraf, Japonya’da değil Vietnam’da çekildi.Personel, özür dilemiyor, müşterileri selamlıyor.	yanlış	Allegedly, in Japan, airline company employees apologize by bowing to passengers due to flight delays.
235	"Bir Instagram sayfası tarafından 20 Mayıs 2021 tarihinde yapılan paylaşımda Fransa Başkanı François Mitterrand’a danışmanlık hizmeti vermiş bir iktisatçı olan Jacques Attali'nin ""Verbatim"" adlı kitabında salgın kaynaklı toplu katliamları desteklediği iddia edildi."	"Bir Facebook sayfası tarafından yapılan paylaşımda Jacques Attali'nin ""Verbatim"" adlı kitabında salgın kaynaklı toplu katliamları desteklediği iddia edilmişti. İddiada sözü geçen Verbatim kitabında salgın ile ilgili bir bilgi bulunmuyor. İddia edilen alıntı ise kitabın herhangi bir bölümünde yer almıyor."	yanlış	"In a post shared on May 20, 2021, by an Instagram page, it was claimed that Jacques Attali, an economist who served as an advisor to French President François Mitterrand, supported mass killings caused by pandemics in his book ""Verbatim""."
527	Prens William'ın ‘Asya ve Afrika'nın aksine Avrupa’da savaş görmek tuhaf’ dediği iddiası	Prens William’ın böyle bir sözü yok.Daily Express gazetesinin kraliyet sorumlusu Richard Palmer, yanlış haber için Twitter üzerinden özür dileyip düzeltme yapmış.Birçok haber sitesi de Palmer’ın paylaşımı sonrası haberlerini güncellemiş.	yanlış	"The claim that Prince William said, ""Seeing war in Europe is strange, unlike Asia and Africa."""
845	Bir Twitter hesabı tarafından 30 Ağustos 2022 tarihinde yapılan bir paylaşımda Starbucks’ın ekim ayından itibaren nakit parayı kabul etmeyeceği iddia edildi. 	Bir Twitter hesabında yapılan bir paylaşımda Starbucks’ın 1 Ekim’den itibaren nakit para kabul etmeyeceği iddia edilmişti. Yapılan araştırmada iddianın kaynağı Birleşik Krallık’taki bir Starbucks şubesinin astığı bir duyuru olduğu gözüküyor. Duyuruda 1 Ekim 2022 tarihinden itibaren nakit ödeme kabul edilmeyeceği yazıyor. Ancak Starbucks’ın Birleşik Krallık Twitter hesabı ise bir duyuru yaparak farklı lisans ortaklarıyla beraber çalışmaları sonucu bazı mağazalarda farklı uygulamalar olabileceğinden fakat çoğu mağazada nakit ödeme seçeneğinin olduğundan bahsetmiş. Yani bu uygulama sadece fotoğrafın çekildiği mağaza için geçerli, genel bir uygulama değil. Ayrıca Starbucks Türkiye’nin de nakit ödeme seçeneğinin kalkacağına dair bir duyurusu bulunmuyor.	yanlış	In a tweet posted by a Twitter account on August 30, 2022, it was claimed that Starbucks will no longer accept cash starting from October.
244	Buz pateni dansçısı Ivan Bukin’in görme engelli olduğu iddiası	Görüntüler 2017 Dünya Artistik Patinaj Şampiyonası’nda kaydedilmiş.2017 Dünya Artistik Patinaj Şampiyonası’na ait görüntülerde Ivan Bukin’in görme engelli olmadığını gösteren farklı anlarla karşılaşılıyor.Ivan Bukin’in Uluslararası Paten Birliği’ndeki profili incelendiğinde görme engelli olduğuna dair bir bilgiye rastlanmıyor.Uluslararası Paten Birliği Ivan Bukin’in görme engelli olduğunu yalanladı.	yanlış	The claim that figure skater Ivan Bukin is visually impaired.
66	Köfteci Yusuf restoran zincirlerini Bilal Erdoğan'ın satın aldığı iddiası	Köfteci Yusuf isimli restoran zincirlerinin ortakları Yusuf Akkaş ve Ramazan Akkaş.Şirket kurulduğu günden beri ortaklık yapısı değişmedi.	yanlış	The claim is that Bilal Erdogan bought Köfteci Yusuf restaurant chains.
59	Kemal Kılıçdaroğlu’nun Düzce Depremi Etki Analiz Raporu’na yönelik iddiaları	CHP Genel Başkanı Kemal Kılıçdaroğlu'nun bahsettiği AFAD Düzce Depremi Etki Analiz Raporu incelendiğinde koordinasyon, yardımlar ve hasar tespiti gibi birçok başlıktaki sorunlara yer verildiği görülüyor.Raporun sonuç bölümünde sağlam yapılmış konutların önemine ve üniversitelerde afetle ilgili çalışmaların daha çok desteklenmesi gerekliliğine vurgu yapılmış.	doğru	Can you translate the allegations against Kemal Kılıçdaroğlu's Düzce Earthquake Impact Analysis Report?
314	Kıvrımlı pipeti yanlış mı kullanıyoruz?	Kıvrımlı pipetlere ait ilk patent kaydı olan Joseph B. Friedman, kıvrımlı pipetin patentini 28 Eylül 1937’de tescil ettirdi.Tasarım eskizleri incelendiğinde pipetlerin kıvrık bölümünün yukarı gelecek şekilde tasarlandığı ve kullanımının  günümüzdeki gibi olduğu görülüyor.Friedman’ın kıvrımlı pipet tasarımı, yatan hastalara büyük bir kolaylık sağladığı için hastaneler tarafından yoğun ilgi görmüş.	yanlış	Are we using the serpentine pipette incorrectly?
601	Twitter’ın Türkiye sorumlusunun kadınların eşlerinin rızası dışında Twitter’a giremeyeceğini açıkladığı iddiası	Twitter’ın Ortadoğu sorumlusu Gordon MacMillan böyle bir açıklaması yokGörseldeki kişi Twitter’ın sorumlusu değil, Salahuddin Barakat isminde bir Müslüman aktivist.Abdülkadir el-Cezairî ise 1883 yılında hayatını kaybetmiş Cezayirli bir asker.	yanlış	The claim that the Turkey representative of Twitter stated that women cannot access Twitter without the consent of their husbands.
787	"Papa Francis’in ""Seks Tanrı'nın insanoğluna verdiği güzel şeylerden biri"" dediği iddiası"	Papa Francis, gençlerin sorularını yanıtladığı bir belgesel programında seksin Tanrı'nın insanoğluna verdiği en güzel şeylerden biri olduğunu söylüyor.Aynı programda Papa Francis’e LGBTİ+ hakları, kürtaj, porno endüstrisi, göç, ırkçılık ve kiliselerdeki cinsel istismar olayları hakkında ne düşündüğü de soruluyor.Papa Francis geçmişte de bu konudaki düşüncelerini dile getirmişti.	doğru	"The claim that Pope Francis said, ""Sex is one of the beautiful things that God has given to mankind."""
941	Akkuyu nükleerin elektriği 3 kat pahalıya gelecek iddiası	2010’da yayınlanan Resmi Gazete’ye göre nükleer santral işlemeye başladıktan 15 sene sonraya kadar santralin iki güç ünitesinden üretilen elektriğin %70’i diğer iki güç ünitesinden üretilen elektriğin %30’u Türkiye Devlet’ine kilovatsaati 12.35(15.33’e kadar arttırılabilir) sentten satılacaktır.Üretilen elektriğin geri kalanı (ilk ikisinin %30’u diğer ikisinin %70’i) piyasada satılacaktır. Nükleer santralin kazandığı net kârın %20’si Türkiye Cumhuriyeti Devleti’ne aktarılacaktır. Elektriğin Türkiye’deki şu andaki piyasa takas fiyatı yaklaşık 4 senttir. Yani, Ahmet Akın iddia ettiği gibi satın alınacak elektriğin fiyatı güncel takas fiyatının 3 katıdır. İddia bu sebeple doğrudur.Diğer yandan Resmi Gazete 2010 yılında yayınlanmıştır ve 2011 yılında dolar kurunun da düşük olması sebebiyle elektriğin piyasa takas fiyatının 8 ile 11 sent arasında olduğu görülmektedir. Yani o yıllara bakıldığında güncel ile gazetedeki fiyat farkı azdır. Ayrıca, daha düşük fiyatlara olsa da, yeşil enerjilerden (Bazı kesimler nükleer enerji de yeşil enerji sınıfına almaktadır.) üretilen elektrikler içinde yüksek fiyat garantisi verilmektedir.	doğru	Claim that Akkuyu nuclear power will be three times more expensive.
974	The Simpsons’ın Silikon Vadisi Bankası’nın çöküşünü bildiği iddiası	The Simpsons’tan alınan sahne orijinal değil, Silikon Vadisi Bankası yazısı tabelaya sonradan montajlanmış.Orijinal sahne karakterlerden birinin banka çalışanlarını zora sokmak için müşterilere paranın bittiğini söylemesiyle başlıyor.	yanlış	The claim that The Simpsons knew about the collapse of Silicon Valley Bank.
25	Virüs taşıyan On est tous Paris başlıklı e-posta iddiası	İddia Fransa kaynaklı ve 2015'e dayanıyor.Savunma Bakanlığı'nın böyle bir açıklaması ya da uyarısı yok.Franceinto sitesinde yer alan haberde de bu yönde mail alan kimsenin olmadığı, haberin “söylenti” olabileceği belirtiliyor.	yanlış	"The claim of an email titled ""We are all Paris carrying the virus"""
660	14 Mayıs seçimlerinde fazladan 6 milyon 770 bin 786 oy kullanıldığı iddiası	YSK, 14 Mayıs’ta oy kullanabilecek seçmen sayısının yurtiçi ve yurtdışında toplam 64 milyon 191 bin 285 olduğunu açıklamıştı.Anadolu Ajansı verilerine göre 14 Mayıs’ta yurtiçi ve yurtdışında toplam 55 milyon 833 bin 175 kişi oy kullandı.Açıklanan seçmen sayısı ile sandığa gidip oy kullanan kişi sayısı aynı olmak zorunda değil. Her seçmen sandığa gitmiyor.Nitekim seçime katılım oranı yüzde 88.84 olarak açıklandı.Mevcut verilere göre fazladan 6 milyon 770 bin 786 oy kullanıldığına ilişkin bir kanıt yok.	yanlış	The claim is that an additional 6,770,786 votes were cast in the elections on May 14th.
644	KETAR isimli bir araştırma şirketinin olduğu iddiası	KETAR diye bir araştırma şirketi bulunmuyor.Böyle bir araştırma veya seçim anketi mevcut değil.Prof Dr Ketum Revnak isimli hesap sahte.	yanlış	The claim is that there is a research company called KETAR.
578	Bir Twitter hesabı tarafından 6 Ocak 2022 tarihinde yapılan paylaşımda Fahrettin Koca’nın Turkovac aşısı olmadığı iddia edildi. Gönderi 1300’den fazla retweet 2800’den fazla beğeni almış.	Bir Twitter hesabı tarafından yapılan paylaşımda Sağlık Bakanı Fahrettin Koca’nın hatırlatıcı dozu Turkovac olmadığı iddia edilmişti. İddiada yer alan videonun tamamı izlendiğinde hemşirenin flakondan enjektöre ilacı çektikten sonra flakonu çekmeceli dolabın üstüne bırakıyor. Başka bir sağlık çalışanı ise flakonu hemen yanında duran soğuk saklama dolabına kaldırıyor. Aşı uygulamalarında prosedür flakondan ilacı enjektöre çekerken daha uzun bir iğne kullanılıyor ve bu işlem tamamlandıktan sonra uzun iğne ucu kısa iğne ucuyla değiştiriliyor. Videonun bir parçası manipüle edilerek paylaşılmış. Hemşirenin flakondan çektiği ilacın Sağlık Bakanı Fahrettin Koca’ya doğrudan uygulandığı net bir şekilde görülüyor.	yanlış	In a tweet posted on January 6, 2022, it was claimed that Fahrettin Koca did not receive the Turkovac vaccine. The post received over 1300 retweets and over 2800 likes.
995	Toyota isminin oyuncak araba anlamına gelen ‘toy auto’dan geldiği iddiası	Toyota ismi şirketin kurucusu Sakichi Toyoda’dan geliyor.Geçmişte Amerikalıların böyle bir ifade kullandığını gösteren bir belge yok.	yanlış	The claim is that the name Toyota comes from 'toy auto', which means toy car.
494	Sağlık çalışanları grevde olduğundan acilde hasta bakılmadığı iddiası	Video acilde değil poliklinikte çekilmiş.Acil servisler iş bırakma protestoları dahil kesintisiz çalışıyor.	yanlış	The claim is that patients are not being treated in the emergency room because healthcare workers are on strike.
802	Bir Instagram sayfası tarafından 13 Nisan 2021 tarihinde yapılan paylaşımda dünyanın en zeki ülkeleri sıralamasında Türkiye’nin 14. sırada olduğu iddia edildi. Gönderi, 60 bine yakın beğeni toplamış.	Bir Instagram sayfası tarafından yapılan paylaşımda dünyanın en zeki ülkeleri sıralamasında Türkiye’nin 14. sırada olduğu iddia edilmişti. “Dünyanın en akıllı ülkeleri” sıralamaları çoğunlukla tartışmalı kriterlere sahip. Sıralamalar genelde, Nobel ödülü sayısı, IQ ortalaması ve okuldaki başarı oranları kriterlerine göre hazırlanıyor. Bu şekilde hazırlanmış güncel listelerin hiçbirinde Türkiye ilk 14’te yer almıyor.	yanlış	In a post made by an Instagram page on April 13, 2021, it was claimed that Turkey ranked 14th in the list of the world's smartest countries. The post has received nearly 60,000 likes.
137	Mahir Bakan’ın partiden istifa ettiğini duyurduğu hesap gerçek mi?	Twitter hesabı Mahir Bakan’a ait değil.Mahir Bakan Twitter hesabından yaptığı paylaşımla, Twitter hesabının sahte olduğu bilgisini paylaştı.Bakan’ın resmi Twitter adresi ise, @mahirbakan.	yanlış	Is it true that Mahir Bakan announced his resignation from the party on the mentioned account?
837	Aydan dönen Apollo 11 astronotlarının Anıtkabir’i ziyaret ettikleri iddiası	Sosyal medyada yayılan fotoğraflar 30 Ekim 1969 tarihli Hayat Dergisi’nin 45. sayısında yer alıyor.Astronotlar görev dönüşü birçok ülkenin başkent ve şehirlerini ziyaret ettikleri bir dünya turuna başladı. Ankara ziyareti de bu tur kapsamındaydı.	doğru	The claim that the Apollo 11 astronauts who returned from the Moon visited Anıtkabir.
679	Fatih Erbakan’ın mRNA aşılarının DNA’yı değiştirdiği iddiası	Araştırmalarda gözlemlendi ki; mRNA aşıları çekirdeğin dışında yani sitoplazma adı verilen boşlukta görevini yapıyor ve çekirdeğe etki etmiyor. Dolayısıyla mRNA hücre çekirdeğinin içinde depolanan DNA ile temas etmemiş oluyor. Griffith Üniversitesi  Menzies Health Institute Queensland’de Enfeksiyon Hastalıkları ve İmmünoloji Program Direktörü Profesör Nigel McMillan’a göre: mRNA aşıları, DNA moleküllerine ancak revers transkriptaz adlı virüs enziminin yardımı ile yerleşebilir. Bu enzimin insanlarda olmaması sebebiyle mevcut aşılar güvenlidir. Avustralya Ulusal Üniversitesi RNA Biyoloji Grubu, Sağlık ve Tıp Fakültesi Dekanı Profesör Thomas Preiss göre: Şu anda COVID aşılarından mRNA’nın insan DNA’sına entegrasyonunun gerçekleştiğine dair hiçbir kanıt yok. Bu tür olaylar nadiren meydana gelse bile, birey üzerinde zararlı bir etki yaratma şansı son derece düşük.	yanlış	The claim that Fatih Erbakan's mRNA vaccines alter DNA.
370	Pfizer & BioNTech’in geliştirdiği Covid-19 aşısının gönüllülerde yüz felcine neden olduğu iddiası	ABD Gıda ve İlaç Dairesi (FDA) tarafından yayınlanan raporda, Pfizer & BioNTech tarafından geliştirilen Covid-19 aşısını olan gönüllülerden dördünde yüz felci görüldüğü belirtiliyor.Ancak yüz felcine aşının neden olduğuna dair kanıt yok.Raporda Covid-19 aşısı ile yüz felci arasında nedensel bir ilişki kurulmadığı söyleniyor.Yüz felci genel nüfusta da bu oranda görülüyor.Haberler ve paylaşımlarda kullanılan fotoğraf aşı gönüllülerini göstermiyor. Fotoğraf uzun zamandır yüz felcini anlatan kaynaklarda yer alıyor.	yanlış	The claim that the Pfizer & BioNTech Covid-19 vaccine caused facial paralysis in volunteers.
