	claim	evidence	label
734	Türkiye'nin İslam’a en uygun yaşayan ülkeler arasında 95. sırada yer aldığı iddiası	Söz konusu endeks, Amerika Birleşik Devletleri’nde faaliyet gösteren Islamicity Vakfı tarafından İslam İşbirliği Teşkilatı üyesi ülkeler göz önünde bulundurularak hazırlanıyor.2018’deki endekste ilk 40 ülke arasında Müslüman olarak tanımlanan hiçbir ülke yok. Türkiye 2017’de 81. sıradayken 2018’de 95. sıraya gerilemiş.	doğru
975	Bir Twitter hesabı tarafından 5 Nisan 2023 tarihinde yapılan paylaşımda Yüksek Seçim Kurulu (YSK) tarafından 2 milyonun üstünde vatandaşlık verilen sığınmacının oy kullanacağını açıklandığı iddia edildi.	Bir Twitter hesabı tarafından yapılan paylaşımda YSK’nin 2 milyonun üstünde vatandaşlık verilen sığınmacının oy kullanacağını açıkladığı iddia edilmişti. Türkiye’de 2023 seçimleri için kesinleşmiş Türkiye veya yurt dışı doğumlu seçmen sayısı YSK tarafından henüz açıklamış değil. Yurt dışı doğumlu seçmen sayısının gündem olması üzerine CHP Genel Başkan Yardımcısı Onursal Adıgüzel de bir açıklamada bulunarak toplam sayının 1 milyon 325 bin olduğunu belirtmiş ve özel olarak odaklandıkları 5 ülke için sayının 235 bin 701 olduğunu aktarmış.	yanlış
49	Kanada-Fas maçında TRT spikerinin devre arasında değiştirildiği iddiası	TRT Spor'da karşılaşmanın iki devresini farklı spiker anlatmış. Spiker değişikliğinin nedeni ise belirtilmemiş.Günün diğer maçlarında böyle bir uygulama yok.	doğru
896	Eğer bir gün benim sözlerim bilimle ters düşerse bilimi seçin sözünün Atatürk’e ait olduğu iddiası	Atatürk ile ilgili hiçbir resmi kaynakta bu söze rastlanmıyor. Budist lider Dalai Lama’nın (Tenzin Gyatso) 2005 yılında New York Times’da yayınlanan “Our Faith in Science” isimli yazısında Atatürk’e atfedilen söze benzeyen bir cümle kurduğu görülebiliyor.	yanlış
2	İsveç’in seksi resmen spor olarak tanıdığı iddiası	İsveç’in seksi spor ilan ettiği iddiası doğru değil.İsveç Seks Federasyonu İsveç’te seksin spor olarak tanınması için İsveç Spor Konfederasyonu’na Ocak 2023’te başvuruda bulunmuş ancak bu talep reddedilmiş.İsveç Spor Konfederasyonu iddialara karşılık açıklamasında, İsveç sporunu ve İsveç’i karalamak amaçlı bilgi olduğunu ve İsveç Spor Konfederasyonu’na üye herhangi bir Seks Federasyonu bulunmadığını belirtmiş.	yanlış
544	Pakistan’da İslam’a aykırı olduğu için ağaçların söküldüğü iddiası	Ağaçların sökülmesinin nedeni fetva değil, yerel hükümetin ağacın dikildiği arazinin sahibi olduğunu iddia eden ve çatışma içinde olan iki kabileden yalnızca birinden izin alması.	yanlış
350	‘Kürt İllerinde Çocuklara Yönelik Yaşam Hakkı İhlalleri’ raporuna göre 385 çocuğun zırhlı araç çarpması sonucu hayatını kaybettiği iddiası	Raporda yer alan görsel, hatalı yorumlanmış.Kürt İllerinde Çocuklara Yönelik Yaşam Hakkı İhlalleri raporuna göre zırhlı araç çarpması sonucu hayatını kaybeden toplam çocuk sayısı 16.Rapora göre 2000-2020 arasında ‘sistematik’ bir şekilde hayatını kaybeden toplam çocuk sayısı ise 386.Rapor, Kürtlerin yoğun olarak yaşadığı bölgelerde çocukların ‘sistematik’ olarak hayatlarını kaybettiklerini ve yaralandıklarını ortaya koymayı amaçlıyor.	yanlış
904	E-postanın YSK'nin seçmen kaydı doğrulama hizmetini gösterdiği iddiası	Gönderilen e-posta adresi, Yüksek Seçim Kurulu’na ait değil.E-postadaki logo, YSK’nin logosunu taklit ediyor.Yönlendirilen bağlantıların YSK ile bir ilgisi yok.Teyit’in ulaştığı Yüksek Seçim Kurulu yetkilileri de e-postanın sahte olduğunu söyledi. YSK, seçmenlere seçmen kütüğüyle ilgili doğrulama e-postası göndermiyor.2023 Genel Seçimleri için seçmen kaydı sorgusu e-Devlet ve YSK’nin resmi internet sitesi üzerinden yapılıyor.	yanlış
536	Ekrem İmamoğlu'nun Ayasofya’da namaz kıldırmak için Diyanet’e başvurduğu iddiası	Teyit'in ulaştığı Diyanet İşleri Başkanlığı böyle bir başvuru yapılmadığını söyledi.Teyit konu hakkında İBB Sözcüsü Murat Ongun’la yazılı olarak görüştü. Ongun, böyle bir başvuru yapılmadığını, Ekrem İmamoğlu’nun görevinin belediye başkanlığı olduğunu ifade etti.	yanlış
344	CDC'nin yeni koronavirüsün bulaşma yollarıyla ilgili güncelleme metni yayınladığı iddiası	CDC, virüsün yayılımıyla ilgili resmi bilgileri iddialar yönünde güncellemedi.Paylaşımlar, 6 Mayıs 2020’de İmmünoloji Uzmanı Erin Bromage tarafından yazılan bir blog yazısına dayanıyor ve Bromage’ın CDC ile doğrudan bir bağı yok.	yanlış
994	Kulaktan kulağa: Aşılar nasıl ‘çöp’ oldu?	Sosyal medyaya yansıyanın aksine iddia, sadece Pfizer-BioNTech aşısını kapsıyor. İddiada, BioNTech aşısının çözüldükten sonra hemen uygulanması gerektiği bilgisi var. Buradaki süre 6 saattir ve iddiada da belirtildiği gibi bu bilgi doğrudur. Ancak, aşı randevusu alıp ‘gelmeyen kişi’ sayısıyla ilgili resmi bir açıklama olmaması sebebiyle aşıların çöpe gittiği iddiası doğru olarak kabul edilemez. Aşıların israf olduğu yönündeki iddia ancak; aşı randevusuna iştirak etmeyen kişilerin varlığı ve sayısının ortaya çıkmasıyla araştırılabilir.	yanlış
481	Kruger Ulusal Parkı’ndaki filin yorulan aslanlara eşlik ettiği iddiası	20 Ağustos 2005 yılında Kruger Ulusal Parkı’nda çekilen karenin orijinalinde aslan yok.Montajlanmış fotoğrafın ilk olarak 1 Nisan’da “Latest Sightings - Kruger” sayfa tarafından şaka amaçlı paylaşıldığını görmek mümkün.	yanlış
575	Kırılan tasarruflu ampullerin cıva zehirlenmesine sebep olabildiği iddiası	EPA'ya göre ampulleri kullanırken bir cıva tehlikesi bulunmuyor ancak tasarruflu ampullerin kırılması ile tehlikeli olabilecek cıva buharı ortaya çıkıyor.Kırılan bir tasarruflu ampul 0,04 ila 0,7 miligram civa salıyor. Bir çocukta sağlık riski oluşturması için haftalarca dokunulmadan bırakılması gerekiyor.	doğru
33	Ekrem İmamoğlu 'PKK ve FETÖ'ye çağrı yapıyorum Türkiye'yi beraber yönetelim' dedi mi?	İmamoğlu, “Gelin Türkiye’yi beraber yönetelim” şeklindeki ifadeyi sorulan soru üzerine AK Parti ve Erdoğan için ifade ediyorEkrem İmamoğlu konuşmanın devamında terör örgütlerinin karşısında olduğunu da belirtiyor.	yanlış
31	Hamidiye Kaynak Suları, II. Abdulhamid döneminde kuruldu	Hamidiye Kaynak Suları, İBB’nin CHP yönetimi döneminde kurulmadı. Tesislerin temeli 1898’e, yani Sultan 2. Abdülhamid dönemine dayanıyor.	yanlış
231	17. yüzyılda mumyalanmış piskoposun mezarındaki fetüsün sırrı çözüldü iddiası	Fetüsün çözülen sırrının, aynı tabutta yer aldığı piskoposun torunu olduğu bilgisi doğrudur.	doğru
963	Bir Twitter kullanıcısı tarafından 19 Ocak 2022 tarihinde yapılan paylaşımda Melinda Gates’in tutuklandığı iddia edildi.	19 Ocak 2022 tarihinde bir Twitter kullanıcısı tarafından yapılan paylaşımda Melinda Gates’in tutuklandığı iddia edilmişti. İddia incelendiğinde ise tutuklamaya dair ne resmi makamlardan bir açıklamanın ne de güvenilir haber sitelerinde böyle bir haberin bulunmadığı görülüyor. Gates Vakfı da iddiaları kesin bir dille yanlışlamış. Bunların yanında haberi ortaya atan sitelerden biri de parodi haberler yayımlayan bir mizah sitesi.	yanlış
192	Apranax adlı ilacın çiğnenmesinin beyin kanamasına yol açabileceği iddiası	Tıp literatüründe Apranax’ın etken maddesi olan naproksenin beyin kanamasına yol açtığını gösterir veri bulunmuyor.Prospektüste, ilacın yeterli miktarda sıvı ile birlikte alınması gerektiği yazıyor.Ciddi yan etkiler arasında beyin kanaması ihtimali listelenmemiş.Sağlık otoriteleri, kapsül ve hapların çiğnenmemesi, ezilmemesi ya da içinin açılmaması konusunda uyarıyor.Abdi İbrahim, çiğnenmiş olsa dahi Apranax'ın alınması ile beyin kanaması geçirilmesi arasında direkt bir sebep sonuç ilişkisi kurulamayacağını belirtti.	yanlış
333	İstanbul Başakşehir’de görülen siyah örtülü minibüste sığınmacı izi yok	Twitter’da paylaşılan ve kısa sürede yayılan, üstünde Afganistan bayrağı olduğu iddia edilen siyah örtülü minibüs mültecilerle ilgili değil. Video İstanbul Başakşehir’de çekilmiş, Caferilerin Muharrem ayı anmasıyla alakalı.	yanlış
3	Yurtdışına çıkarken sadece Türk vatandaşları mı para ödüyor?	Pek çok ülkede benzer uygulamalar mevcut.Kamboçya, Çin, Hong Kong, Kosta Rika, Küba, Suudi Arabistan, Tayland gibi ülkelerde vergi uçak bileti fiyatına ekleniyor.	yanlış
204	Singapur’da tren camlarının binalara gelince matlaştığı iddiası	Singapur’un toplu taşıma sisteminde matlaşan camlar uzun süredir kullanılıyor.Camlar yerleşim bölgelerine yaklaşınca otomatik olarak matlaşıyor.Hafif raylı sistemde yer alan bu özellik mahremiyeti korumak için tasarlanmış.	doğru
514	Çağlayan Adliyesi önünde toplanan grubun şarkıcı Gülşen’i protesto ettiği iddiası	Görüntüdeki kişiler, Gülşen’i değil Yıldız Teknik Üniversitesi öğretim görevlisi Uğur Kutay’ı protesto ediyor.Protestoyu düzenleyen Müdafaa-i İslam Hareketi’nin Uğur Kutay hakkında suç duyurusunda bulunmak için 21 Aralık günü Çağlayan’da toplanma çağrısı bulunuyor.	yanlış
799	Pendik-Sabiha Gökçen metrosunun maliyetinin İBB tarafından karşılanacağı iddiası	Pendik-Sabiha Gökçen metrosunun yapımı Ulaştırma ve Altyapı Bakanlığı'nın kendi bütçesiyle tamamlandı. Ancak hattın maliyeti işletilmek üzere devredilen İBB tarafından karşılanacak.2010 yılında çıkarılan kararda şehir içi ulaşım sistemleri, metrolar ve bunlarla ilgili tesislerin Ulaştırma ve Altyapı Bakanlığı’nca devralınması, tamamlanması ve sonra geri devredilmesi düzenleniyor.Aynı düzenleme belediyelerin bakanlığın metro yapım maliyetlerini karşılamasını öngörüyor.Bakanlığın metro hattını tamamlamasının yasal çerçevesini bu karar oluşturuyor. İBB de 2018 yılında bütçe yetersizliği nedeniyle metro hattının yapımını bakanlığa devretti.Yasal düzenlemelere göre bakanlığın yapımını tamamladığı metro hattının işletmesini devralan İBB, maliyetleri karşılayarak, metro yatırımının geri ödemesini yapmakla yükümlü.	doğru
306	Bilgi yarışmasında Türkiye'deki ortalama penis boyunun sorulduğu iddiası	Video üzerinde oynamalar yaparak paylaşan hesap, parodi olduğunu belirtmişGörüntüde yarışmacıya “2021 TÜİK verilerine göre, Türkiye’de nüfusu bir milyondan fazla olan kaç il vardır?” sorusu yöneltilmiş.	yanlış
109	Afyonkarahisar'da İYİ Partili Mahmut Koçak’ın pankartının kapatıldığı iddiası	Teyit, İYİ Parti yetkilileri ile yaptığı görüşmede pankartın Afyonkarahisar emniyetinden gelen ve YSK’nın 1 Mart 2019’a kadar afiş ve pankart asma yasağına istinaden yapılan istek sonrasında kendileri tarafından kapatıldığı bilgisine ulaştı.Cumhurbaşkanı Erdoğan’ın Afyonkarahisar’da açılış gerçekleştirdiği sırada AK Parti bayraklarının şehirde asılı olduğu da fark edilebiliyor.Mahmut Koçak da basın toplantısında konu hakkında açıklamalarda bulundu.	doğru
430	Dua eden bulutların Kahramanmaraş depremi ile alakalı olduğu iddiası	Video dijital ortamda hazırlanmış.Aynı görsel farklı olaylarda da dolaşıma girmiş.Videonun Kahramanmaraş depremi ile bir alakası yok.	yanlış
77	Jennifer Lopez, Nazlı Çelik’e Atatürk hakkında sözler söyledi mi?	Jennifer Lopez’in böyle bir açıklaması mevcut değil.Nazlı Çelik ve Jennifer Lopez arasında gerçekleşen röportajda Atatürk hakkında bir soru sorulmamış.Jennifer Lopez’in Türkiye konserleri öncesinde verdiği diğer röportajlarda da Atatürk hakkında bir sözüne rastlanmıyor. 	yanlış
84	Haritanın Sakarya’da patlama sonrası radyasyon seviyesinin yükseldiğini gösterdiği iddiası	Bir bölgede yaşanan radyoaktif değişimleri izleyebileceğimiz Avrupa Komisyonu’nun çevresel radyoaktif değişim haritasında Sakarya ve çevresine baktığımızda olağandışı bir hareketlilik görülmüyor.Havai fişek yapımında radyoaktif madde kullanılmadığından, böyle bir patlama sonrası radyasyon yayılması mümkün de değil.	yanlış
286	Çin'de düşen uçağın modelinin 737 MAX 8 olduğu iddiası	Uçağın modeli uçuş takip sistemlerine göre 737 MAX 8 değil.Düşen uçağın tipi 737-800.	yanlış
82	Cumhurbaşkanlığı ve milletvekili oy sayıları arasında tutarsızlık olduğu iddiası	Paylaşımdaki farkların sebebi cumhurbaşkanlığında yurtiçi, milletvekilliğinde yurtdışı rakamların alınması.İki seçimde de yurtiçi sayılara bakıldığında ciddi bir farklılık görünmüyor.Yurtdışı oyları milletvekillerine 24 Mart 2023 tarihinde Resmi Gazete’de yayımlanan 136 sayılı genelgenin 8., 9. ve 10. maddeleri uyarınca dağıtılıyor.	yanlış
991	ODTÜ bahar şenlikleri için ses sistemi olan 'traktor' değil taşıt olan 'traktör' istendi	Rektörlükten, gerekli olan ses sistemlerinin taşınması için taşıt olan traktör istenmiş.ODTÜ’de gerçekleşen bahar şenliklerinin organizasyonunu üstlenen Uluslararası Gençlik Topluluğu (UGT) taşıma için gerekli olan taşıt talebinin her sene yapıldığını söyledi.	yanlış
789	23 Şubat 2020 itibariyle Türkiye’de koronavirüs vakası yok	22 Şubat'ta İran Kapıköy Gümrük Kapısı'ndan giriş yapan üç Türk vatandaşında Covid-19 tespit edilmedi.Van'da yaşananların ardından 23 Şubat 2020 itibariyle İran'la tüm yol geçişleri durduruldu.	yanlış
894	‘ABD Yüksek Mahkemesi evrensel aşıyı iptal etti’ iddiası	Amerika Birleşik Devletleri hiçbir zaman ilk etapta evrensel aşıyı zorunlu kılmadı. Dolayısıyla Yargıtay’ın bozacağı bir karar yok. Yüksek Mahkeme 1905 tarihli kararına göre, bir halk sağlığı krizi sırasında aşıyı zorunlu kılmak konusunda geniş bir yetkiye sahip. Fakat zorunlu aşı ile evrensel aşı birbirinden çok farklı.	yanlış
398	Sahra Çölü'nden gelecek toz bulutu yüzünden virüsün Türkiye'de daha da yayılacağı iddiası	Adı geçen bölgeler üzerine 28 Kasım itibariyle bir toz bulutu uyarısı yok.Koronavirüsün toz bulutu veya rüzgarla taşınacağına ilişkin herhangi bir bulgu yok.Prof. Dr. Mehmet Ceyhan virüsün rüzgarla kilometrelerce taşınamayacağını belirtiyor.	yanlış
323	5G'nin yaydığı radyasyonun kuşların ölümüne neden olduğu iddiası	Yerdeki ölü kuşların görüntüleri Kuzey Galler’in Anglesey Adası’ndan.Fotoğrafta yerde duran flamingolar ise plastik.	yanlış
519	23 Nisan'ı Kenan Evren’in çocuk bayramı ilan ettiği iddiası	23 Nisan resmi adını almadan önce de çocuk bayramı olarak kutlanıyordu.Kanunda 1935 yılında Ulusal Egemenlik Bayramı olarak yer alan günün adı, 1981 yılında “Ulusal Egemenlik ve Çocuk Bayramı” olarak değiştirilmiş.İlk 23 Nisan çocuk bayramı kutlamaları 1927 yılında Mustafa Kemal Atatürk himayesinde gerçekleştirilmiş.	yanlış
916	Gana’da sahte ABD Büyükelçiliği açıldığı iddiası	ABD Dışişleri Bakanlığı konuyla ilgili, binanın ABD hükümeti tarafından işletilmediği, Ganalı - Türk organize suç çetesi ve Ganalı bir avukat tarafından ABD Büyükelçiliği olarak işletildiğini belirtti.	doğru
922	Oktay Sinanoğlu'nun dünyanın en genç profesörü unvanına sahip olduğu iddiası	Oktay Sinanoğlu’na dünyanın en genç profesörü unvanı verilmedi.Sinanoğlu 28 yaşında profesör unvanı alarak Yale Üniversitesi’nin bu unvanı en genç alan profesörlerinden oldu.Dünyanın en genç profesör olan kişisi unvanına Alia Sabur sahip. Sabur 18 yaşında profesör olarak Guinness rekorlar kitabına girdi.	yanlış
5	Canan Kaftancıoğlu'nun 1915'te yaşananlara ilişkin açıklamalarıyla ilgili iddia	Video Kaftancıoğlu’nun 17 Ocak 2018 tarihli konuşması kesilerek oluşturulmuş.Kaftancıoğlu soykırım tartışmalarının büyük acıları görmezden geldiğini belirtiyor.Kaftancıoğlu da videonun orijinalini yayınlayarak görüntünün montajlandığını vurguladı.	yanlış
731	HDP seçimde kazandığı Kızıltepe Belediyesinin binasından Türk bayrağını indirmedi	Bayrak, HDP’li belediye başkanlarının mazbatalarını almasından önce 9 Nisan 2019 sabah saat 07.00 civarı Kızıltepe Kaymakamı emriyle zabıta görevlileri tarafından indirildi.Ayrıca Akit’in manşete taşıdığı haberde görülen belediye binası Kızıltepe değil, Nusaybin İlçesinin Belediye Binasını gösteriyor.	yanlış
